country,hap_score,sunshine,temperature,GDP,population
Switzerland,1.0,0.2542301717260781,0.34271302562430384,0.038470121889874045,0.005763981716704312
Iceland,0.9945240101095199,0.0,0.15170874229096304,0.0009308420353415168,0.0
Denmark,0.9873631002527382,0.25430014975297777,0.3149242119190706,0.016566307298350954,0.0038800686916964353
Norway,0.9863100252737996,0.019453891478075976,0.23718460078285147,0.021124349513306735,0.003521340507196301
Canada,0.966301600673968,0.29441621997359513,0.22723300607764824,0.08531574565715898,0.025640699294085613
Finland,0.9618786857624264,0.22294999370197777,0.2417433968450335,0.012825004063893352,0.003732226948138107
Netherlands,0.9559814658803708,0.1410757022295001,0.36480647959985796,0.04193081934348805,0.012039693092828624
Sweden,0.9530328559393431,0.19124994751647992,0.27390938037908114,0.02766584541970103,0.006863480021265371
New Zealand,0.9366048862679023,0.2632363437880508,0.47760488075151614,0.009733856336333646,0.0031014820465722877
Australia,0.936183656276327,0.6368140403913173,0.5588833400338069,0.07402188808588014,0.017024054478412504
Israel,0.9349199663016008,0.8330184322122857,0.6724891572945885,0.016424031451298983,0.005834805879804565
Austria,0.9184919966301603,0.23428643405970542,0.39282686115379883,0.020905902499512154,0.00602515995339381
Mexico,0.9157540016849203,0.5327077297728515,0.6805185424655849,0.06422536988933529,0.08809341427597271
United States,0.9014321819713563,0.6300619383291427,0.512540774297459,1.0,0.23225907975263313
Brazil,0.8727885425442293,0.38232431380183,0.7907888177363956,0.09878796952595496,0.14797870622795123
Luxembourg,0.8649957877000842,0.12889952554897768,0.34442694123954615,0.0032628291081527004,0.00017309456196825586
Ireland,0.8637320977253583,0.053323256497459996,0.3269191577380167,0.015951633587259463,0.003168575226627047
Belgium,0.8631002527379952,0.09195112734601352,0.36523549972446245,0.025310616356389485,0.007932692630928283
United Arab Emirates,0.8555181128896377,0.9160263677205359,0.9416053370193077,0.01960735990166652,0.006474731449773569
United Kingdom,0.8483572030328561,0.0858630390057523,0.33921009534294844,0.1620831214434607,0.046961966955414575
Oman,0.8454085930918281,0.9095603980350171,0.9338867073336241,0.0042861654567868486,0.0028535286116473137
Singapore,0.8338247683235047,0.29197631943569735,0.8962616349406771,0.016858617058972316,0.00377243704343957
Panama,0.8312973883740523,0.1748750892219844,0.8895725938331283,0.002936269433961647,0.002636896007386752
Germany,0.8237152485256951,0.13330814124364956,0.358011777263083,0.1839971026047629,0.05897359540095558
Chile,0.8068660488626791,0.6360078935214345,0.4626050770840248,0.01334474982907973,0.012785913623132228
France,0.7868576242628477,0.3525492995199511,0.45568751816022346,0.13366044852409004,0.04800004068054566
Argentina,0.7866470092670599,0.37506822857622724,0.5646659456219316,0.03258122455011073,0.031025911930960708
Czech Republic,0.7721145745577086,0.14317504303648668,0.36184514336826873,0.01028044645561405,0.007404877048686723
Uruguay,0.7679022746419547,0.4846958055170678,0.566491997919921,0.002891449809130596,0.0022335141825941146
Colombia,0.7662173546756531,0.25413570138976377,0.7517676768807846,0.016062335171797913,0.03420721541313387
Thailand,0.7615838247683236,0.35605869756896336,0.9596485185256519,0.02197395426194862,0.04957032061630505
Saudi Arabia,0.7523167649536647,0.801738254188185,0.8950989682564913,0.03584481711932934,0.02275186443409677
Spain,0.7350463352990734,0.6177100390477391,0.5594553810858787,0.06550028862869986,0.03342735876950657
Malta,0.7293597304128054,0.7251123147331741,0.6483263736071773,0.0005785084102267823,8.280941153122469e-05
