country,hap_score,sunshine,temperature,GDP,population
Finland,1.0,0.22294999370197777,0.2419710472269911,0.012502748773276643,0.0036671167197225444
Denmark,0.9645181608230106,0.25430014975297777,0.34610175820472744,0.016191187852262885,0.0038751735891193457
Norway,0.9548603821121142,0.019453891478075976,0.2280993993597422,0.018868408051682287,0.0035436891789361177
Iceland,0.9422632794457274,0.0,0.1945537092609711,0.0011345757467160023,0.0
Netherlands,0.941003569179089,0.1410757022295001,0.3892212623919053,0.0424423563670726,0.012067996883782508
Switzerland,0.9393239554902373,0.2542301717260781,0.3566878719848453,0.03411736310682321,0.005836867869244458
Sweden,0.9105605710686542,0.19124994751647992,0.28638928228270616,0.02488436787234456,0.007047345230804197
New Zealand,0.9030023094688222,0.2632363437880508,0.5095569651956523,0.009907779711596041,0.003281787746527426
Canada,0.8969137098467354,0.29441621997359513,0.1980451236622714,0.08125320709708642,0.026460905791585075
Austria,0.890195255091329,0.23428643405970542,0.41536072568636473,0.020738006331718472,0.006053326138919071
Australia,0.8864161242914129,0.6368140403913173,0.5871938006483245,0.06492009007983558,0.017767129820833737
Israel,0.8677304220029395,0.8330184322122857,0.6986036669869475,0.018541488348256766,0.006177016578733136
Luxembourg,0.8574427881587234,0.12889952554897768,0.36344792098324685,0.00324994193861089,0.00018434053495221362
United Kingdom,0.8498845265588915,0.0858630390057523,0.3568079393196995,0.13428710938648003,0.04723355058671862
Ireland,0.8429561200923789,0.053323256497459996,0.3520644447379089,0.01859689282087467,0.0032498419619798593
Germany,0.8353978584925469,0.13330814124364956,0.38268748946944203,0.18139520271249876,0.058784506084459426
Belgium,0.8223808524039472,0.09195112734601352,0.3888921777117992,0.024950117269581854,0.007907162184997218
United States,0.8158723493596474,0.6300619383291427,0.5218046892372334,1.0,0.2330346857459246
Czech Republic,0.8074742809153896,0.14317504303648668,0.3771683841911848,0.011755750968044477,0.007326574551285876
United Arab Emirates,0.8018055847155156,0.9160263677205359,0.957879589615619,0.019441093950467926,0.006686135467050073
Malta,0.7810203653159774,0.7251123147331741,0.6646022978246712,0.0006847008661852037,0.0001019614799108369
Mexico,0.7535166911610329,0.5327077297728515,0.7105958868384925,0.05920365354797428,0.09039105638483055
France,0.7528868360277136,0.3525492995199511,0.4754501223984238,0.1272976130644889,0.04752671781889258
Chile,0.7218139827839597,0.6360078935214345,0.4740334275960583,0.013010258109919744,0.013209945705829913
Saudi Arabia,0.707327314717615,0.801738254188185,0.9141386496902691,0.036972788970492165,0.024092895379942303
Spain,0.7029183287843797,0.6177100390477391,0.570166921134822,0.06497111414984066,0.0332348950082926
Panama,0.6959899223178669,0.1748750892219844,0.8986033634032937,0.003100110571191326,0.0027610629319471435
Brazil,0.6915809363846316,0.38232431380183,0.8107734780213026,0.08758975498311723,0.1497024909903846
Uruguay,0.6901112744068865,0.4846958055170678,0.58090519537885,0.0028316758161003337,0.0022034974371398426
Singapore,0.6836027713625866,0.29197631943569735,0.9290588754957905,0.017442779012391968,0.0037964083299011214
El Salvador,0.6817132059626286,0.6843851030776337,0.8924312041493822,0.001229707068521926,0.004329298264081913
Italy,0.6754146546294353,0.43771255825670735,0.5461681418302349,0.09372802463858493,0.04218358285000703
Slovakia,0.6701658618517742,0.2993659990762902,0.42428244208762345,0.004887098545349052,0.0036191845426808565
Poland,0.6668066344740711,0.10244783138094644,0.3692089900227233,0.027842515139459796,0.02671971567353633
Uzbekistan,0.6651270207852196,0.6285006507956503,0.5251765263047645,0.0027699254606343357,0.02360391810983199
Lithuania,0.6598782280075584,0.152832010748625,0.3026698664383719,0.002526825015544611,0.001729146589959059
Colombia,0.6548393869410036,0.25413570138976377,0.76410325689603,0.015065269123567943,0.03551188906602923
Slovenia,0.6533697249632586,0.27207456858546436,0.38898628864430185,0.002502632925916365,0.0012276830371117712
Nicaragua,0.6506403527188748,0.6016290884662217,0.9434605804215864,0.0005631810562118241,0.004394634356753229
Argentina,0.6466512702078523,0.37506822857622724,0.5740940792730651,0.021060900253650962,0.03167446493512703
Romania,0.6432920428301492,0.33085611118108926,0.4573408804229526,0.011633673865896253,0.013508096650922395
Cyprus,0.6382532017635945,0.8343200235126174,0.7125997841520225,0.0011765964908834656,0.0005954385866212331
Northern Cyprus,0.5693890405206803,0.8343200235126174,0.7125997841520225,0.0011765964908834656,0.0005954385866212331
Ecuador,0.6344740709636784,0.24459419742200975,0.6686118789247677,0.005018842818001822,0.012088448296518998
Thailand,0.6302750367415495,0.35605869756896336,0.9863196098342906,0.025368876059471766,0.04921542130140807
Latvia,0.6159983203863113,0.17970357307805362,0.30501687166152863,0.0015755398087959867,0.0011036494074859518
South Korea,0.6065504933865211,0.3651383465591806,0.4666425014078694,0.07702638635901322,0.036524674885260226
Estonia,0.6061305899643082,0.2766931183608348,0.2587999034603983,0.0014232867322374204,0.0006865871005791149
Japan,0.6046609279865631,0.21278918419616252,0.5504327353989293,0.24020515680902285,0.08945982681773822
Honduras,0.5992021834977956,0.3916530209514215,0.8026735094422106,0.0011372717414977215,0.0066687905260671854
Kazakhstan,0.5884946462313668,0.46374438426334147,0.20997135688231722,0.008450945918712503,0.012898472885415317
Bolivia,0.5821960948981735,0.40450098669017936,0.5082914767371437,0.0018828526507520895,0.007924301780523384
Hungary,0.5777871089649381,0.25234076499979013,0.42318680868309955,0.007604542422251748,0.006686572447866282
Paraguay,0.5746378332983415,0.6197254062224461,0.7971393312355716,0.001743421734178379,0.004749289408264218
Peru,0.5649800545874449,0.40082714027795313,0.6241250643217863,0.010634700861283349,0.022843722123665915
Portugal,0.5641402477430191,0.6060097129501337,0.5197279283299712,0.011172011216568077,0.007052586158447054
Pakistan,0.5557421792987612,0.7493876922646293,0.7633756073570461,0.012994913393575848,0.15362167458726844
Russia,0.554692420743229,0.27161796195994453,0.2108093778725247,0.0787072581101265,0.10234992956654387
Philippines,0.5511232416544196,0.3258596800604611,0.9157635305969318,0.01755648253045309,0.07656476522484099
Moldova,0.5297081671215621,0.3354746609564598,0.4108716342059848,0.0005332741771489973,0.0016373713815623215
Libya,0.5288683602771364,0.7772179535625815,0.6987308685376531,0.002405224436081058,0.004559443625565685
Montenegro,0.5284484568549234,0.484947726413906,0.4795103802840626,0.00023337895008245418,0.00018578079530092174
