country,hap_score,sunshine,temperature,GDP,population
Denmark,1.0,0.25430014975297777,0.3402878092953693,0.01667553732923737,0.003886664941382538
Switzerland,0.9963211426098249,0.2542301717260781,0.35103329420775353,0.03708067005757426,0.005793270083170673
Iceland,0.9945899156026833,0.0,0.23398458903453467,0.0010804445694693203,0.0
Norway,0.9939407054750053,0.019453891478075976,0.2522241763724926,0.019647668336569408,0.0035309841040624896
Finland,0.975546418524129,0.22294999370197777,0.24168879454472783,0.012807315338267181,0.0037189426919185427
Canada,0.973598788141095,0.29441621997359513,0.27735215523947615,0.08148796483603402,0.025783942051562436
Netherlands,0.959532568708072,0.1410757022295001,0.3898972559728241,0.0417715054952098,0.012032736400367061
New Zealand,0.9584505518286085,0.2632363437880508,0.5213489852680911,0.010051074660820497,0.0031558950635789504
Australia,0.9539060809348624,0.6368140403913173,0.5818432861496968,0.06434645474988517,0.017193693163404435
Sweden,0.9491452066652241,0.19124994751647992,0.29026326533827024,0.027480752966534797,0.006910241437449136
Israel,0.9439515256438,0.8330184322122857,0.6980196382877784,0.016990748563782382,0.0059177152396848835
Austria,0.9119238260116858,0.23428643405970542,0.39639704076084953,0.021074297567717542,0.006055138118501597
United States,0.9086777753732957,0.6300619383291427,0.5443492934274894,1.0,0.2326103679873953
Germany,0.8848734040251028,0.13330814124364956,0.3716925368063565,0.18495829714218345,0.05911057003617432
Brazil,0.875784462237611,0.38232431380183,0.787749244629386,0.09576938203936287,0.14834908672731661
Belgium,0.8708071845920797,0.09195112734601352,0.3841646561057403,0.025351327893502144,0.007925292336834951
Ireland,0.8660463103224411,0.053323256497459996,0.3641590959308972,0.01590780956572983,0.0031856149557895324
Luxembourg,0.8582557887903052,0.12889952554897768,0.3532013792298942,0.0032881004247217313,0.00017771753175273896
Mexico,0.8381302748322873,0.5327077297728515,0.6948344967028178,0.057507423761953766,0.08865006714983872
Singapore,0.8296905431724735,0.29197631943569735,0.9127090866284608,0.01697684531881415,0.003799651641348419
United Kingdom,0.826660895909976,0.0858630390057523,0.36788624376130086,0.14523226256165783,0.047047417504579456
Chile,0.8223328283921228,0.6360078935214345,0.4917717785222561,0.013331854501639834,0.012882319538535143
Panama,0.8214672148885521,0.1748750892219844,0.8812051189370778,0.0030604631443265284,0.0026679316959627624
Argentina,0.8104306427180265,0.37506822857622724,0.5612034938236258,0.029714828384260903,0.031175744572726226
Czech Republic,0.7987448604198225,0.14317504303648668,0.3597807775474519,0.01044204788551917,0.00737385806179205
United Arab Emirates,0.7937675827742914,0.9160263677205359,0.9315134900939335,0.019019107627074542,0.006505103845343156
Uruguay,0.7877082882492966,0.4846958055170678,0.5648882196243515,0.0030246637542343975,0.002226162994320936
Malta,0.7753732958234149,0.7251123147331741,0.6641462811328278,0.0005964823830268061,8.642949713147399e-05
Colombia,0.7738584721921662,0.25413570138976377,0.7585664134123867,0.015059550615897178,0.034480126661243504
France,0.7732092620644881,0.3525492995199511,0.46680143187578527,0.13181147873981075,0.04784925349349873
Thailand,0.7723436485609175,0.35605869756896336,0.9586056477922986,0.022023774647947168,0.0494689166256595
Saudi Arabia,0.7517853278511144,0.801738254188185,0.8925327570884305,0.03437774295938114,0.023141661646099848
Spain,0.7478900670850465,0.6177100390477391,0.5735880504045482,0.06570103145327306,0.03326135809935184
Algeria,0.7465916468296906,0.8175043036486548,0.6260041628935384,0.008508796150994029,0.028985424193650404
Slovakia,0.6866479117074227,0.2993659990762902,0.4036831688058012,0.004751961910206412,0.0036724510792825885
El Salvador,0.6844838779484959,0.6843851030776337,0.8701324522201742,0.00126173804930859,0.004339383911542744
Nicaragua,0.6680372213806535,0.6016290884662217,0.9216896630559588,0.00067995000366036,0.004301784842379425
Uzbekistan,0.6669552045011902,0.6285006507956503,0.5354877520758059,0.004566533755389535,0.022712427409001108
Italy,0.6647911707422636,0.43771255825670735,0.5422997373226571,0.10004285150592857,0.043455159321790574
Ecuador,0.6645747673663709,0.24459419742200975,0.6724239595001292,0.005302716724010235,0.01164411250221837
Japan,0.6526725816922745,0.21278918419616252,0.5525409589952193,0.2669117640881823,0.09128880725918058
Kazakhstan,0.652239774940489,0.46374438426334147,0.23151614387825162,0.00729479730556901,0.012583198391316542
Moldova,0.6474789006708505,0.3354746609564598,0.3987922584995957,0.00040175675331110427,0.001777882367709482
Russia,0.6386063622592512,0.27161796195994453,0.22151579659539933,0.06808631132175912,0.10379219763147256
Poland,0.6340618913655053,0.10244783138094644,0.3494766794090887,0.02518545423673329,0.027124958941267988
South Korea,0.6340618913655053,0.3651383465591806,0.47964054988114024,0.08000043016283505,0.036673175057586625
Bolivia,0.6312486474789006,0.40450098669017936,0.5230270426298519,0.0017818734501647135,0.007709357337288684
Lithuania,0.6293010170958666,0.152832010748625,0.2762265911743083,0.002266119181613571,0.0018254954585139743
Belarus,0.6269205799610473,0.20153671747071436,0.27025004182903345,0.0025171027667306137,0.006583235413069502
Slovenia,0.6195628651806968,0.27207456858546436,0.3791264394828612,0.0023577857014533445,0.0012466015454613507
Peru,0.6141527807833803,0.40082714027795313,0.6387661691033943,0.010208586518559002,0.022047999163267735
Libya,0.5864531486691192,0.7772179535625815,0.7157656501253594,0.0013687406115742526,0.00443742171676064
Latvia,0.5745509629950226,0.17970357307805362,0.2917576155449888,0.0014683637864967274,0.0011705594155310144
Cyprus,0.5715213157325255,0.8343200235126174,0.7074551897164862,0.0010889950360368152,0.0006016413246703796
Paraguay,0.5697900887253842,0.6197254062224461,0.7486873346795254,0.0018964894950421053,0.004643351343597623
Romania,0.5676260549664573,0.33085611118108926,0.4348090786671077,0.010007614590072003,0.013958531359788438
Estonia,0.5652456178316383,0.2766931183608348,0.2547556311671217,0.0012545390321303982,0.0007065824190259734
Croatia,0.558969919930751,0.3969853466011674,0.4277477417643634,0.0027610405617088736,0.002766872593818948
Somalia,0.5485825578879031,0.7456858546416426,0.8776297477017448,0.00026616485584478853,0.00998245015679472
Turkey,0.5375459857173772,0.4225133308141247,0.5327193103025237,0.046368300181820796,0.05729371702285247
Indonesia,0.5213157325254274,0.5015954990133102,0.878029402201475,0.04968576865880287,0.1882735149263025
Azerbaijan,0.5163384548798962,0.369651929294202,0.528604034234669,0.0019913421175719384,0.006791121860746833
Philippines,0.5137416143691841,0.3258596800604611,0.900553997580752,0.016969534069763433,0.07447333837407018
China,0.5063838995888336,0.2970847153993647,0.5243514560311696,0.5992539067889682,1.0
Montenegro,0.4882060160138497,0.484947726413906,0.47123886741026527,0.00020450714257675448,0.00020675559983257714
Morocco,0.4860419822549231,0.7677149375096223,0.6463455261240937,0.005482713360738247,0.025075296862280452
Hungary,0.4847435619995671,0.25234076499979013,0.39743499683035943,0.0068337449619517,0.006831635619957431
Pakistan,0.4819303181129625,0.7493876922646293,0.7803182298946384,0.014837065920443251,0.14652437832160473
Portugal,0.47998268772992864,0.6060097129501337,0.5321674847276131,0.010976281155765003,0.007200245168965933
Macedonia,0.47954988097814333,0.4249065793340891,0.45047293416727413,0.0005405167346497109,0.0012519696491883887
Vietnam,0.4665656784245834,0.3343200235126172,0.8764279287289091,0.010922406751855344,0.06724904629146987
Tunisia,0.4631032244103008,0.7234118486795148,0.6576579913463929,0.00233775010845046,0.007905486282804472
Greece,0.4605063838995889,0.6071293613805264,0.5912875551281115,0.010268395248346412,0.007524954181184172
Mongolia,0.4332395585371132,0.6161565268505691,0.0,0.0005676648395300032,0.001961086926002761
Nigeria,0.42631465050854794,0.5619851366670866,0.8803086365352869,0.021558778090270753,0.13378802464436168
Honduras,0.4254490370049774,0.3916530209514215,0.7822880758091101,0.0011217075200155983,0.006440106401437676
Iran,0.4128976412032027,0.691430490825881,0.5720639825543212,0.02227010953554373,0.0571035291728015
Zambia,0.4090023804371348,0.6879399868441313,0.7225817603275138,0.0010892601793416382,0.011552097236573933
Albania,0.37870590781216196,0.5109795524205402,0.5108233954787177,0.0006039340439238227,0.0018311677163458473
Bangladesh,0.3761090673014499,0.3102825712726205,0.8699923834970941,0.011783405219336976,0.11361936918956152
Iraq,0.3613936377407488,0.8035436872821936,0.7621660045687665,0.00885920894565464,0.02614513946594032
Cameroon,0.34797662843540356,0.35190200277112976,0.8445215886773368,0.001775109436007203,0.0170031586353335
Ethiopia,0.34689461155594026,0.6316286685980603,0.5570860937302432,0.003934793882106789,0.07442984073335718
South Africa,0.3362908461371997,0.7618157898419898,0.618140351888016,0.017234077745848918,0.04026957824098428
India,0.3243886604631032,0.49965150942604053,0.8696345632064243,0.12239606101705423,0.9543965245576067
Egypt,0.31529971867561135,1.0,0.777445274213263,0.017706546555588443,0.06783042461020819
Armenia,0.3148669119238261,0.48158878112272746,0.35176407829032685,0.0005337768127991743,0.0018744455300399563
Kenya,0.3140012984202553,0.7150459755636732,0.7709727368364131,0.003962455429071491,0.03511184680879794
Ukraine,0.3070763903916901,0.2636772053575178,0.3582854694239343,0.004951590254931908,0.03219509687423919
Ghana,0.2966890283488422,0.43688681753929287,0.8876721216835317,0.002967501514991833,0.020286435888547994
Georgia,0.2914953473274183,0.3018852080446741,0.3980829743274038,0.0007789481877635279,0.00244481231699234
Senegal,0.2843540359229605,0.7639501196624261,0.8107884421590678,0.000986931701825615,0.01056472436072809
Bulgaria,0.283921229171175,0.35730780534912054,0.35955598640524483,0.0028495324493234705,0.004895571495404093
Mauritania,0.2804587751568924,0.8418356636016294,0.8521704478835782,0.00031251815442110114,0.002759076302463501
Zimbabwe,0.2787275481497511,0.7298988117731035,0.6738961711852669,0.001067401304773501,0.009870520725471168
Malawi,0.2707206232417225,0.6167023554603854,0.7391490378045058,0.0002609989063964534,0.012158822691707595
Sudan,0.2670417658515474,0.936096065835328,1.0,0.0022454352202024687,0.02847804541542748
Gabon,0.26314650508547943,0.1650921610614268,0.8734115078589618,0.0007193111815947188,0.0012054037998870365
Mali,0.2527591430426316,0.7444962281843504,0.9290643451872347,0.0007194263122393872,0.012706728923283275
Botswana,0.2313352088292578,0.8815411960644363,0.7408502980398466,0.0007757909740935927,0.0013149879291794696
Ivory Coast,0.21878381302748323,0.4174833102405847,0.8919641565982508,0.0025299906159105888,0.01692832879735656
Angola,0.20796364423285008,0.4253264474954866,0.7547524381111242,0.005365996773028328,0.02054628944349263
Niger,0.2057996104739234,0.7866649871940212,0.9737535054433086,0.0005259199672999164,0.0147416359244647
Chad,0.18567409651590566,0.8507368686232526,0.9708610224505889,0.0005098574780457248,0.01025346659983339
Burkina Faso,0.1804804154944817,0.7901918797497589,0.9469616369222853,0.0006557978827402837,0.013197485175155945
Uganda,0.1804804154944817,0.410211193685183,0.7618495372410371,0.001529152462537722,0.028335150645701038
Madagascar,0.17095866695520448,0.6455193069376215,0.6141592023660962,0.0006032625897809274,0.01770071012797658
Tanzania,0.16468296905431726,0.7183314439266074,0.7771577572599091,0.0026265407009276073,0.03799316639386506
Guinea,0.15191516987665016,0.46731326363521847,0.8760715363750806,0.0004297369108213991,0.008218643925737904
Benin,0.12529755464185244,0.5472701571706483,0.8930769011348966,0.0006017929570230895,0.007594218431489231
Afghanistan,0.09846353603116209,0.7759583490783895,0.6065622835374119,0.0009376506525656155,0.025260350850509764
Togo,0.08612854360528026,0.526073812822774,0.8936980569615647,0.0002929331213494695,0.005170989524030978
Burundi,0.0,0.43935004408615713,0.7169019523195849,0.00011694456681140624,0.007317402158873295
Democratic Republic of the Congo,0.29582341484527164,0.3770416106142672,0.8419513688205318,0.0019940194815618087,0.05471104649747156
Republic of the Congo,0.23458125946764768,0.15605100222530136,0.8419513688205318,0.0006052292839146793,0.003258235712412639
Somalia,0.46570006492101285,0.74568585296217,0.8803367517765097,0.0002555957973887978,0.00970248783520342
Syria,0.02185674096515905,0.8035436889616663,0.6318897724713444,0.0008509859086798512,0.012729765353375057
Jordan,0.4949145206665224,0.8035436889616663,0.6311703463018238,0.0020297265817396035,0.006437064139645003
Yemen,0.25362475654620215,0.8035436889616663,0.8275061265378288,0.0022355510798975917,0.01885643085935987
Myanmar,0.3033975330015149,0.3770416106142672,0.9016411156622801,0.003334548957535954,0.03772756418219018
Laos,0.4265310538844407,0.15605100222530136,0.9016411156622801,0.0007407836037073727,0.005420468685172314
Sri Lanka,0.2956070114693789,0.15605100222530136,0.9052553245060234,0.004271289944789943,0.014872242724206952
Malaysia,0.6199956719324821,0.15605100222530136,0.8959124452124807,0.01604809443180794,0.02157585685431323
Venezuela,0.8450551828608525,0.6585212226560861,0.8786924960203877,0.025704483094237444,0.021439542480267214
Suriname,0.7279809565029215,0.6585212226560861,0.8761009724345603,0.0002446342054374165,0.00016122834310247367
Haiti,0.34905864531486686,0.6585212226560861,0.8419513688205318,0.0007624845040360311,0.007466983994440161
Dominican Republic,0.42847868426747454,0.6585212226560861,0.8517484667157971,0.0,0.0071686967484047215
