country,hap_score,sunshine,temperature,GDP,population
Norway,1.0,0.019453891478075976,0.2188693620457031,0.020358422483052037,0.0035343995823111526
Denmark,0.996903314820457,0.25430014975297777,0.31188022331515936,0.01696719310060568,0.003884010535066406
Iceland,0.9931874501069523,0.0,0.19435383688695143,0.0012376934540336176,0.0
Switzerland,0.9911229933205888,0.2542301717260781,0.3347975151260972,0.036020979770425524,0.005808872391987917
Finland,0.9859619497934,0.22294999370197777,0.213127830826348,0.01302170050091753,0.003700063816757931
Netherlands,0.9669693804892194,0.1410757022295001,0.37459292888358714,0.04253661641163126,0.012026819658770907
Canada,0.9543765090963039,0.29441621997359513,0.225158884237349,0.084366386096902,0.025934932697248086
New Zealand,0.9539636571145191,0.2632363437880508,0.4928312616475692,0.01056213451684161,0.0032024435485326873
Sweden,0.9477703851941486,0.19124994751647992,0.26372993590715255,0.027656631194031507,0.006959306285764392
Australia,0.9477703851941486,0.6368140403913173,0.56828027490712,0.06786983818022033,0.017378718787601954
Israel,0.9331130570148692,0.8330184322122857,0.6787899357627885,0.01815210969968431,0.005996181883777849
Austria,0.8903798252998238,0.23428643405970542,0.37975685994101965,0.021271130598239048,0.006056549900434968
United States,0.8876960905407832,0.6300619383291427,0.5249008412944605,1.0,0.23267091901576048
Ireland,0.8843930778090636,0.053323256497459996,0.34984273984879816,0.01709415965462599,0.0031979932824766975
Germany,0.8790256082909824,0.13330814124364956,0.35458688330576416,0.18836911559989666,0.058969322106703796
Belgium,0.8666390644502413,0.09195112734601352,0.3740191587660946,0.02563559981036531,0.007903132351141753
Luxembourg,0.8608587429503731,0.12889952554897768,0.3442373225161091,0.0033265619001263485,0.00018120291293267948
United Kingdom,0.8300991046555665,0.0858630390057523,0.3548747553374978,0.13808286952193513,0.04707844116894419
Chile,0.8172997088330405,0.6360078935214345,0.4577736865046759,0.014148384770057419,0.012986176522253192
United Arab Emirates,0.8164739064307511,0.9160263677205359,0.9397953842956083,0.01970402879230789,0.006550606803663031
Brazil,0.8137902701104285,0.38232431380183,0.7806451577263843,0.10556379427415352,0.14864578160340822
Czech Republic,0.8084228005923452,0.14317504303648668,0.3347137697315415,0.01115972321047224,0.007343825893441775
Argentina,0.8063583438059837,0.37506822857622724,0.5772117701642516,0.03290725105996001,0.03130761525630294
Mexico,0.8020231026810822,0.5327077297728515,0.689031508563055,0.05927470627385433,0.0891442493707874
