,country,Score,sunshine,temperature,GDP,population,christianity_all,judaism_all,islam_all
0,Finland,7.632,154.83333333333334,6.975225988700568,275580448365.235,5515525.0,4258941,1277,24245
1,Norway,7.594,114.44444444444444,7.1742655367231585,436999692591.454,5311916.0,4103723,823,99500
2,Denmark,7.555,161.05555555555557,10.165677966101692,356841216410.068,5793636.0,4527237,2153,222000
3,Iceland,7.495,110.58333333333333,5.158361581920905,26267063757.5495,352721.0,290063,0,1589
4,Switzerland,7.487,161.04166666666666,11.084745762711856,735539301552.674,8514329.0,6303993,17500,322000
5,Netherlands,7.441,138.58333333333334,11.529957627118636,913597086062.599,17231624.0,9626041,25700,963526
6,Canada,7.328,169.0175925925926,6.7458725674827456,1725329192783.02,37065084.0,26431104,340304,670000
7,New Zealand,7.324,162.82916666666668,14.866807909604512,212225726657.864,4900600.0,2361557,4696,48943
8,Sweden,7.314,148.54166666666666,8.51001412429379,555455371487.089,10175214.0,7133814,19781,562741
9,Australia,7.272,236.975,16.806908797417275,1428529571351.06,24982688.0,13150670,97335,476290
10,United Kingdom,7.19,127.625,10.65459981167609,2900791442554.06,66460344.0,38957273,263000,2700000
11,Austria,7.139,157.08333333333334,12.3269209039548,454945881027.378,8840521.0,6124531,8298,398571
12,Ireland,6.977,121.16666666666667,10.358728813559326,384853685231.018,4867316.0,4150307,1984,25700
13,Germany,6.965,137.04166666666666,11.599951977401126,3975347237442.99,82905782.0,57827992,119000,4000000
14,Belgium,6.927,128.83333333333334,11.766544256120522,543008499294.079,11427054.0,7526165,30000,543818
15,Luxembourg,6.91,136.16666666666666,11.08319209039549,71250208995.6425,607950.0,460637,600,10139
16,Israel,6.814,275.9166666666667,21.451224105461385,373641241440.789,8882800.0,152400,5573299,1524000
17,Malta,6.627,254.5,19.908107344632768,14864712990.1631,484630.0,401633,60,4122
18,France,6.489,180.55555555555554,14.233349475383376,2789593979064.58,67101930.0,44023361,480000,4950000
19,Mexico,6.488,216.3125,20.69024228596262,1222408203104.3,126190782.0,108811290,67476,3760
20,Chile,6.476,236.81499999999997,13.369237288135595,297571693064.193,18729166.0,15587652,20664,4500
21,Panama,6.43,145.29166666666666,26.34420903954803,64929409212.4566,4176868.0,4166894,6590,13181
22,Brazil,6.419,186.46515151515152,23.500582627118643,1916933708381.89,209469320.0,168313010,107000,35167
