country,Score,sunshine,temperature,GDP,population,christianity_all,judaism_all,islam_all
Finland,1.0,0.2212961033548657,0.23789512541313534,0.019676629059354384,0.0036813870530402457,0.02527860164927801,0.00022912820575389907,0.00011870522443895719
Norway,0.9919610746773851,0.01930957838438572,0.24444670703058355,0.03129571289355419,0.003536201697082036,0.024356379439664896,0.00014766837379440794,0.000492087112219677
Denmark,0.9837105986883858,0.25241369729804836,0.3429119762558634,0.02552584289299851,0.0038796967767307203,0.026872672761844595,0.0003863062075083357,0.0010998777075706596
Iceland,0.9710175587053098,0.0,0.17809125443819462,0.0017308560467814732,0.0,0.0016976546016103495,0.0,6.296214412248137e-06
Switzerland,0.9693251533742332,0.25234423838299647,0.37316399270827383,0.05278482815349429,0.005819713090636347,0.03742920515024903,0.003139971496235892,0.0015960332956122779
Netherlands,0.9595938227205414,0.14002917274432186,0.387818577164958,0.06560156717039436,0.012035664141757496,0.057167034828513326,0.00461127242590071,0.004779000393352151
Canada,0.9356885974190818,0.29223217800004636,0.23034573297691965,0.12403068102300552,0.02617810357215067,0.15701371712404347,0.06105970628886051,0.0033226547419971096
New Zealand,0.9348423947535435,0.2612836007501564,0.49765427156891623,0.015116306488529373,0.0032429088668470894,0.014005362302265616,0.0008425889226470713,0.00024124573157347607
Sweden,0.9327268880896976,0.18983121483642426,0.28841417972031685,0.03982224558996907,0.007004023115884013,0.04235955701796646,0.00354924435240241,0.00279048321981955
Australia,0.9238417601015444,0.632090018753907,0.5615145919869788,0.10266681143045685,0.01756263488418474,0.07810849229122037,0.01746452146206403,0.002361551752401691
United Kingdom,0.9064946054580072,0.08522608876849351,0.3590053175423423,0.2086413759218509,0.04713867646718054,0.23143750336769625,0.0471892859148594,0.013394613179241961
Austria,0.8957055214723926,0.2325484475932487,0.41405140378747657,0.03258749361611242,0.006052307433866364,0.03636293807953823,0.0014888847700437388,0.0019759445909316256
Ireland,0.8614343135180877,0.05292769326943131,0.3492664339302381,0.027542202374755142,0.0032191753904893985,0.024633156613785276,0.0003559830542018291,0.00012592428824496272
Germany,0.8588957055214724,0.13231923317357785,0.39012250974113094,0.28598874503629335,0.0588652542212026,0.34355720709515175,0.021351806174404065,0.019844635823783
Belgium,0.8508567801988576,0.09126901437799555,0.3956060577179527,0.03892630996483707,0.007896659669291406,0.04469069648738312,0.005382808279261529,0.002696595697894435
Luxembourg,0.8472604188703196,0.1279433215253178,0.37311285206266565,0.00496877813068684,0.00018199349348927617,0.002711113937399674,0.00010765616558523057,4.8717517189806506e-05
Israel,0.8269515548973979,0.8268389247759951,0.714386777942513,0.026735121874475097,0.006082454881496661,0.0008797347982243363,1.0,0.00755982346387253
Malta,0.7873915802834779,0.7197332777662012,0.663593578780538,0.0009101058933019676,9.405898127829098e-05,0.0023605437763615715,1.0765616558523057e-05,1.8863835457342327e-05
France,0.7581975883224031,0.34993401403070096,0.476803366940708,0.20063729526450397,0.04759616553587497,0.2615374844875051,0.08612493246818446,0.024558113910178373
Mexico,0.7579860376560187,0.5287559908314232,0.6893383162203506,0.08783003364005465,0.08973003982818033,0.6464726533380094,0.012107012381715031,1.706775222863167e-05
Chile,0.7554474296594034,0.6312898520525109,0.44836026818154606,0.02125957610510751,0.013103500869664268,0.09258773390512719,0.0037076783427553413,2.0739303580139647e-05
Panama,0.7457160990057118,0.17357782871431549,0.8754441681299876,0.004513802003570888,0.0027268448026930127,0.024731707682545685,0.0011824235520111158,6.381057017803253e-05
Brazil,0.7433890416754811,0.3794881509405369,0.7818434203607655,0.13782252437121584,0.1491126024025721,1.0,0.01919868286269945,0.00017289533776486274
Argentina,0.7368309710175587,0.37228589289435304,0.5615188426380424,0.037617069011697986,0.03147572154037572,0.20436484091666884,0.049342409226564014,0.003029922945052555
Uruguay,0.7349270150200972,0.48110022921441964,0.5686746808707493,0.004483975257921187,0.00220803831124439,0.016293729170005895,0.0018068293124054533,3.4482813368892475e-06
Saudi Arabia,0.7332346096890207,0.795790789747864,0.9187084311139903,0.05645459066061814,0.023780563962688902,0.004624776416013299,0.0,0.12144542228992872
Singapore,0.7273111910302518,0.28981037716190877,0.9046482662623782,0.02690357833927333,0.0037692010581756256,0.005503756648268348,5.3828082792615286e-05,0.003605463427180832
Spain,0.7203300190395598,0.61312773494478,0.5584055063996546,0.10207445717574522,0.03311807753388023,0.22053049588168291,0.0021531233117046116,0.006944590534700924
Colombia,0.70975248572033,0.25225046884767666,0.7402604319297605,0.023895981866723592,0.03515978256698709,0.26680926260266424,0.0014524611006874026,0.00013604586224101175
El Salvador,0.6900782737465623,0.6793081892060844,0.8682993550234765,0.001713133387356233,0.004326859316023273,0.036869436030324214,0.00011626865883204902,8.469375887870426e-06
Nicaragua,0.6845779564205627,0.5971660762658886,0.9149693783761553,0.0007776991780730121,0.004358777290687465,0.031122643783837715,0.0,6.360714638693547e-06
Poland,0.6807700444256399,0.10168785163575748,0.35567970334706256,0.04212249043710955,0.02682674966349772,0.2051902291407115,0.00028708310822728156,2.3716237108389354e-05
Uzbekistan,0.6750581764332558,0.6238382996457594,0.509200713551481,0.003628707173244417,0.023248153006770012,0.008339997824354593,0.000753593159096614,0.12993823160622234
Thailand,0.6699809604400254,0.35341737862054584,0.9506599700315823,0.03630639446370887,0.04925511585283208,0.0023745953394904294,3.5885388528410195e-05,0.03340628474329505
Italy,0.6547493124603343,0.43446551364867675,0.5465972125042087,0.15034553760749556,0.04283280606104156,0.285276724027722,0.006997650763039987,0.0034715014184095953
Ecuador,0.6490374444679501,0.2427797457803711,0.6430517761843602,0.007582529909941627,0.01193065541697035,0.0762051857849254,0.00017942694264205098,5.854635938891096e-06
Lithuania,0.6445948804738735,0.15169827047301523,0.2755169738127352,0.0037072756416260126,0.0017461560822375052,0.01634362558740807,0.0010765616558523058,1.1942465004161753e-05
Slovenia,0.6437486778083352,0.270056261721192,0.38273566190640274,0.0037369661537507482,0.0012272989635559357,0.008149633307378442,3.678252324162045e-05,0.0003040987214665883
Romania,0.6431140258091813,0.32840175036465935,0.4313248542142919,0.017220425490261232,0.013634590526109214,0.12414802000968732,0.0017045559550994843,0.0004201445519536424
Latvia,0.6405754178125661,0.1783704938528861,0.2883058545346181,0.002317150121719333,0.0011226788562611275,0.010504722819489574,0.0010765616558523058,0.0
Japan,0.6367675058176433,0.21121066888935197,0.5469107987677659,0.362399551168457,0.08997128073234993,0.014827904564896556,0.00017942694264205098,0.000965920660355303
Kazakhstan,0.6103236725195684,0.46030423004792664,0.1588428452609593,0.012749165714533075,0.012780688797323334,0.028086858528393044,0.0005921089107187681,0.04802122732221654
Cyprus,0.6044002538607995,0.8281308605959575,0.7321899214805139,0.001677274088873136,0.0005965036067101018,0.003578787563044061,2.6375760568381493e-05,0.0008170640608310566
