,country,year,hap_score,region,population,GDP
0,Switzerland,2015,1.0,Europe,8282396.0,702149580770.901
1,Switzerland,2016,0.9963211426098249,Europe,8373338.0,695600652899.283
2,Switzerland,2017,0.9911229933205888,Europe,8451840.0,704478516963.855
3,Switzerland,2018,0.9693251533742332,Europe,8514329.0,735539301552.674
4,Switzerland,2019,0.9383269312846778,Europe,8575280.0,731767398052.879
5,Switzerland,2020,0.9525353362056024,Europe,8636561.0,752248045730.11
6,Iceland,2015,0.9945240101095199,Europe,330815.0,17517210519.0912
7,Iceland,2016,0.9945899156026833,Europe,335439.0,20793168030.9524
8,Iceland,2017,0.9931874501069523,Europe,343400.0,24728285177.4603
9,Iceland,2018,0.9710175587053098,Europe,352721.0,26267063757.5495
10,Iceland,2019,0.9413145539906103,Europe,360563.0,24857740445.0401
11,Iceland,2020,0.9419664678282932,Europe,366463.0,21718075725.2054
12,Denmark,2015,0.9873631002527382,Europe,5683483.0,302673070846.857
13,Denmark,2016,1.0,Europe,5728010.0,313115929314.339
14,Denmark,2017,0.996903314820457,Europe,5764980.0,332121063806.391
15,Denmark,2018,0.9837105986883858,Europe,5793636.0,356841216410.068
16,Denmark,2019,0.9639351259069567,Europe,5814422.0,347561349210.979
17,Denmark,2020,0.9688846883089915,Europe,5831404.0,356084867685.639
18,Norway,2015,0.9863100252737996,Europe,5188607.0,385801550067.169
19,Norway,2016,0.9939407054750053,Europe,5234519.0,368827142857.143
20,Norway,2017,1.0,Europe,5276968.0,398393955268.99
21,Norway,2018,0.9919610746773851,Europe,5311916.0,436999692591.454
22,Norway,2019,0.9541186513017499,Europe,5347896.0,404941363636.364
23,Norway,2020,0.938818694967891,Europe,5379475.0,362198318435.26
24,Canada,2015,0.966301600673968,North America,35702908.0,1556508816217.14
25,Canada,2016,0.973598788141095,North America,36109487.0,1527994741907.43
26,Canada,2017,0.9543765090963039,North America,36545236.0,1649265644244.09
27,Canada,2018,0.9356885974190818,North America,37065084.0,1725329192783.02
28,Canada,2019,0.8952198036705078,North America,37601230.0,1742015045482.31
29,Canada,2020,0.8899996056125811,North America,38037204.0,1645423407568.36
30,Finland,2015,0.9618786857624264,Europe,5479531.0,234440080998.273
31,Finland,2016,0.975546418524129,Europe,5495303.0,240607907010.383
32,Finland,2017,0.9859619497934,Europe,5508214.0,255016517537.983
33,Finland,2018,1.0,Europe,5515525.0,275580448365.235
34,Finland,2019,1.0,Europe,5521606.0,268508200125.49
35,Finland,2020,1.0,Europe,5529543.0,269594831987.549
36,Netherlands,2015,0.9559814658803708,Europe,16939923.0,765264949780.999
37,Netherlands,2016,0.959532568708072,Europe,17030314.0,783528181704.567
38,Netherlands,2017,0.9669693804892194,Europe,17131296.0,831809944960.879
39,Netherlands,2018,0.9595938227205414,Europe,17231624.0,913597086062.599
40,Netherlands,2019,0.9400341442594964,Europe,17344874.0,910194347568.626
41,Netherlands,2020,0.9313594839186607,Europe,17441500.0,913865395789.886
42,Sweden,2015,0.9530328559393431,Europe,9799186.0,505103781349.757
43,Sweden,2016,0.9491452066652241,Europe,9923085.0,515654671469.547
44,Sweden,2017,0.9477703851941486,Europe,10057698.0,541018749769.097
45,Sweden,2018,0.9327268880896976,Europe,10175214.0,555455371487.089
46,Sweden,2019,0.9090909090909091,Europe,10278887.0,533879529188.454
47,Sweden,2020,0.9131595654314988,Europe,10353442.0,541220059459.25
48,New Zealand,2015,0.9366048862679023,Oceania,4609400.0,178064471137.921
49,New Zealand,2016,0.9584505518286085,Oceania,4714100.0,188943457301.474
50,New Zealand,2017,0.9539636571145191,Oceania,4813600.0,206950600690.395
51,New Zealand,2018,0.9348423947535435,Oceania,4900600.0,212225726657.864
52,New Zealand,2019,0.9014084507042254,Oceania,4979300.0,212891048340.608
53,New Zealand,2020,0.9028768830933303,Oceania,5084300.0,210700848973.509
54,Australia,2015,0.936183656276327,Oceania,23815995.0,1350534154255.76
55,Australia,2016,0.9539060809348624,Oceania,24190907.0,1206685107002.47
56,Australia,2017,0.9477703851941486,Oceania,24601860.0,1326882872011.46
57,Australia,2018,0.9238417601015444,Oceania,24982688.0,1428529571351.06
58,Australia,2019,0.8845497225778916,Oceania,25365745.0,1391952510370.48
59,Australia,2020,0.8882253616742769,Oceania,25693267.0,1327836171068.51
60,Israel,2015,0.9349199663016008,Asia,8380100.0,300078278118.434
61,Israel,2016,0.9439515256438,Asia,8546000.0,319024417316.889
62,Israel,2017,0.9331130570148692,Asia,8713300.0,355277223507.485
63,Israel,2018,0.8269515548973979,Asia,8882800.0,373641241440.789
64,Israel,2019,0.8655569782330346,Asia,9054000.0,397934596952.56
65,Israel,2020,0.8702545013320204,Asia,9215100.0,407100736594.064
66,Austria,2015,0.9184919966301603,Europe,8642699.0,381817565893.574
67,Austria,2016,0.9119238260116858,Europe,8736668.0,395568644341.038
68,Austria,2017,0.8903798252998238,Europe,8797566.0,416230497429.163
69,Austria,2018,0.8957055214723926,Europe,8840521.0,454945881027.378
70,Austria,2019,0.8883909517712335,Europe,8879920.0,445011872704.47
71,Austria,2020,0.901846668295382,Europe,8916864.0,433258467676.515
72,Mexico,2015,0.9157540016849203,North America,121858251.0,1171867608197.72
73,Mexico,2016,0.8381302748322873,North America,123333379.0,1078490651625.31
74,Mexico,2017,0.8020231026810822,North America,124777326.0,1158913035796.37
75,Mexico,2018,0.7579860376560187,North America,126190782.0,1222408203104.3
76,Mexico,2019,0.7494664959453691,North America,127575529.0,1269433932805.91
77,Mexico,2020,0.7436567755244431,North America,128932753.0,1073915880822.5
78,United States,2015,0.9014321819713563,North America,320738994.0,18238300569000.0
79,United States,2016,0.9086777753732957,North America,323071755.0,18745075687000.0
80,United States,2017,0.8876960905407832,North America,325122128.0,19542979183000.0
81,United States,2018,0.842183202877089,North America,326838199.0,20611860934000.0
82,United States,2019,0.81284677763551,North America,328329953.0,21433224697000.0
83,United States,2020,0.8341981604803939,North America,331501080.0,20953030000000.0
84,Brazil,2015,0.8727885425442293,South America,204471759.0,1802211999538.68
85,Brazil,2016,0.875784462237611,South America,206163056.0,1795693265810.23
86,Brazil,2017,0.8137902701104285,South America,207833825.0,2063514688761.98
87,Brazil,2018,0.7433890416754811,South America,209469320.0,1916933708381.89
88,Brazil,2019,0.6865130174989329,South America,211049519.0,1877824273720.78
89,Brazil,2020,0.7266015100037955,South America,212559409.0,1444733258971.65
90,Luxembourg,2015,0.8649957877000842,Europe,569604.0,60047430684.2639
91,Luxembourg,2016,0.8582557887903052,Europe,582014.0,62174650367.2216
92,Luxembourg,2017,0.8608587429503731,Europe,596336.0,65549868206.9418
93,Luxembourg,2018,0.8472604188703196,Europe,607950.0,71250208995.6425
94,Luxembourg,2019,0.8551002987622706,Europe,620001.0,70195715495.5136
95,Luxembourg,2020,0.8910298206013034,Europe,630419.0,73353132793.7076
96,Ireland,2015,0.8637320977253583,Europe,4701957.0,291462799328.949
97,Ireland,2016,0.8660463103224411,Europe,4755335.0,298725229419.215
98,Ireland,2017,0.8843930778090636,Europe,4807388.0,334602299873.029
99,Ireland,2018,0.8614343135180877,Europe,4867316.0,384853685231.018
100,Ireland,2019,0.84037558685446,Europe,4934340.0,399122063504.148
101,Ireland,2020,0.863596447126607,Europe,4985674.0,425888950992.003
102,Belgium,2015,0.8631002527379952,Europe,11274196.0,462149679343.822
103,Belgium,2016,0.8708071845920797,Europe,11331422.0,475739588764.759
104,Belgium,2017,0.8666390644502413,Europe,11375158.0,501522868356.441
105,Belgium,2018,0.8508567801988576,Europe,11427054.0,543008499294.079
106,Belgium,2019,0.8194622279129321,Europe,11488980.0,535288715239.999
107,Belgium,2020,0.8196802712088178,Europe,11544241.0,521861292586.616
108,United Arab Emirates,2015,0.8555181128896377,Asia,9262896.0,358135057862.492
109,United Arab Emirates,2016,0.7937675827742914,Asia,9360975.0,357045064669.843
110,United Arab Emirates,2017,0.8164739064307511,Asia,9487206.0,385605506848.196
111,United Arab Emirates,2018,0.8184895282420139,Asia,9630966.0,422215043594.282
112,United Arab Emirates,2019,0.7985488689714042,Asia,9770526.0,417215559513.364
113,United Arab Emirates,2020,0.8058109854617175,Asia,9890400.0,358868765174.924
114,United Kingdom,2015,0.8483572030328561,Europe,65116219.0,2956573778737.76
115,United Kingdom,2016,0.826660895909976,Europe,65611593.0,2722851958486.23
116,United Kingdom,2017,0.8300991046555665,Europe,66058859.0,2699016715111.39
117,United Kingdom,2018,0.9064946054580072,Europe,66460344.0,2900791442554.06
118,United Kingdom,2019,0.8474178403755869,Europe,66836327.0,2878673912414.44
119,United Kingdom,2020,0.8771033157699203,Europe,67215293.0,2759804061837.07
121,Singapore,2015,0.8338247683235047,Asia,5535002.0,308004146057.608
122,Singapore,2016,0.8296905431724735,Asia,5607283.0,318763807455.664
123,Singapore,2017,0.8007844482970081,Asia,5612253.0,343337750742.27
124,Singapore,2018,0.7273111910302518,Asia,5638676.0,375981539145.907
125,Singapore,2019,0.6784037558685445,Asia,5703569.0,374386306993.109
126,Singapore,2020,0.7268876960429358,Asia,5685807.0,339998477929.985
127,Panama,2015,0.8312973883740523,North America,3968490.0,54091713775.5634
128,Panama,2016,0.8214672148885521,North America,4037073.0,57907695408.9392
129,Panama,2017,0.7760115574929615,North America,4106764.0,62202725204.4646
130,Panama,2018,0.7457160990057118,North America,4176868.0,64929409212.4566
131,Panama,2019,0.6909944515578318,North America,4246440.0,66984427150.321
132,Panama,2020,0.7130947325505302,North America,4314768.0,53977036995.1729
